@RELATION BOOKKEEPER5TestDataset

@ATTRIBUTE versionname REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}
@DATA
6,0,0,27,0,0,0,0,0,0,no
6,0,0,66,0,0,0,0,0,0,no
6,0,0,107,0,0,0,0,0,0,no
6,0,0,157,0,0,0,0,0,0,no
6,0,0,300,0,0,0,0,0,0,no
6,0,0,161,0,0,0,0,0,0,no
6,0,0,120,0,0,0,0,0,0,no
6,0,0,86,0,0,0,0,0,0,no
6,0,0,82,0,0,0,0,0,0,no
6,0,0,29,0,0,0,0,0,0,no
6,0,0,267,0,0,0,0,0,0,no
6,0,0,87,0,0,0,0,0,0,no
6,0,0,77,0,0,0,0,0,0,no
6,0,0,40,0,0,0,0,0,0,no
6,0,0,95,0,0,0,0,0,0,no
6,0,0,337,0,0,0,0,0,0,no
6,0,0,376,0,0,0,0,0,0,no
6,0,0,46,0,0,0,0,0,0,no
6,0,0,399,0,0,0,0,0,0,no
6,0,0,71,0,0,0,0,0,0,no
6,0,0,41,0,0,0,0,0,0,no
6,0,0,48,0,0,0,0,0,0,no
6,0,0,89,0,0,0,0,0,0,no
6,0,0,380,0,0,0,0,0,0,no
6,0,0,141,0,0,0,0,0,0,no
6,0,0,148,0,0,0,0,0,0,no
6,0,0,191,0,0,0,0,0,0,no
6,0,0,46,0,0,0,0,0,0,no
6,0,0,165,0,0,0,0,0,0,no
6,0,0,171,0,0,0,0,0,0,no
6,0,0,56,0,0,0,0,0,0,no
6,0,0,179,0,0,0,0,0,0,no
6,0,0,74,0,0,0,0,0,0,no
6,0,0,36,0,0,0,0,0,0,no
6,0,0,37,0,0,0,0,0,0,no
6,0,0,34,0,0,0,0,0,0,no
6,0,0,34,0,0,0,0,0,0,no
6,0,0,38,0,0,0,0,0,0,no
6,0,0,39,0,0,0,0,0,0,no
6,0,0,156,0,0,0,0,0,0,no
