@RELATION OPENJPA13TrainingDataset

@ATTRIBUTE versionname REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}
@DATA
1,2,0,590,7,7,3,230,222,115,no
1,0,0,28,0,0,0,0,0,0,no
1,0,0,35,0,0,0,0,0,0,no
1,1,0,104,0,0,0,222,222,222,no
1,6,1,141,43,32,7,48,39,8,yes
1,1,0,34,0,0,0,222,222,222,no
1,1,0,40,0,0,0,222,222,222,no
1,0,0,34,0,0,0,0,0,0,no
1,1,0,183,0,0,0,222,222,222,no
1,1,0,221,0,0,0,222,222,222,no
1,1,0,57,0,0,0,222,222,222,no
1,1,0,59,0,0,0,222,222,222,no
1,1,0,61,0,0,0,222,222,222,no
1,0,0,35,0,0,0,0,0,0,no
1,2,0,888,2,2,1,224,222,112,no
1,1,0,153,0,0,0,222,222,222,no
1,1,0,126,0,0,0,222,222,222,no
1,1,0,29,0,0,0,222,222,222,no
1,8,2,660,23,10,2,29,8,3,yes
1,0,0,109,0,0,0,0,0,0,no
1,0,0,80,0,0,0,0,0,0,no
1,2,1,315,42,35,21,9,5,4,no
1,0,0,169,0,0,0,0,0,0,no
1,6,1,181,-15,1,-2,324,222,54,no
1,3,0,331,1,1,0,42,14,14,no
1,5,1,505,5,6,1,90,47,18,yes
1,1,0,35,0,0,0,222,222,222,no
1,1,0,38,5,5,5,5,5,5,no
1,5,0,155,19,10,3,262,222,52,no
1,5,1,679,58,23,11,260,222,52,yes
1,2,0,101,0,0,0,301,222,150,no
1,35,3,4884,154,45,4,593,222,16,yes
1,0,0,75,0,0,0,0,0,0,no
1,1,0,42,0,0,0,222,222,222,no
1,5,1,1377,64,32,12,260,222,52,yes
1,1,0,193,0,0,0,222,222,222,no
1,1,0,182,0,0,0,222,222,222,no
1,1,1,470,8,8,8,17,17,17,yes
1,3,1,646,-6,2,-2,256,222,85,no
1,1,0,435,0,0,0,222,222,222,no
1,0,0,131,0,0,0,0,0,0,no
1,0,0,199,0,0,0,0,0,0,no
1,6,2,805,7,6,1,45,17,7,yes
1,1,0,40,0,0,0,222,222,222,no
1,3,0,187,1,1,0,42,14,14,no
1,9,0,926,22,12,2,96,40,10,no
1,6,0,596,1,4,0,92,40,15,no
1,1,0,83,0,0,0,26,26,26,no
1,1,0,80,0,0,0,26,26,26,no
1,1,0,71,0,0,0,26,26,26,no
1,1,0,87,0,0,0,26,26,26,no
1,2,0,74,-2,0,-1,30,26,15,no
1,5,1,732,-6,4,-1,120,79,24,no
1,0,0,88,0,0,0,0,0,0,no
1,2,0,349,2,1,1,11,7,5,no
1,2,1,326,34,34,17,239,222,119,yes
1,6,1,698,16,32,2,265,222,44,yes
1,2,0,895,-8,0,-4,17,16,8,no
1,0,0,40,0,0,0,0,0,0,no
1,1,0,80,0,0,0,26,26,26,no
1,1,0,62,0,0,0,222,222,222,no
1,0,0,406,0,0,0,0,0,0,no
1,1,0,202,9,9,9,15,15,15,no
1,1,0,40,0,0,0,222,222,222,no
1,0,0,108,0,0,0,0,0,0,no
1,2,0,255,-4,1,-2,70,44,35,no
1,0,0,38,0,0,0,0,0,0,no
1,6,0,748,-12,4,-2,107,40,17,no
1,0,0,52,0,0,0,0,0,0,no
1,1,0,124,0,0,0,222,222,222,no
