Dataset;#Training;Classifier;%training;%defective in training;%defective in testing;Feature Selection;Balancing;Precision;Recall;F1;AUPRC;ROC_Area;Kappa
OPENJPA;9;Random Forest;45;3.312;0.949;Yes;UnderSampling;0.15;0.96;0.26;0.52;0.97;0.22
OPENJPA;9;IBK;45;3.312;0.949;No;UnderSampling;0.15;0.98;0.25;0.15;0.90;0.21
OPENJPA;9;IBK;45;3.312;0.949;Yes;UnderSampling;0.14;0.96;0.24;0.14;0.90;0.20
OPENJPA;10;Naive Bayes;56;2.835;0.935;No;No;0.13;0.48;0.20;0.12;0.93;0.19
OPENJPA;10;Naive Bayes;56;2.835;0.935;Yes;No;0.13;0.43;0.20;0.12;0.87;0.18
OPENJPA;10;Random Forest;56;2.835;0.935;No;No;0.83;0.22;0.34;0.37;0.93;0.34
OPENJPA;10;Random Forest;56;2.835;0.935;Yes;No;0.83;0.22;0.34;0.38;0.89;0.34
OPENJPA;10;IBK;56;2.835;0.935;No;No;0.36;0.35;0.36;0.14;0.88;0.35
OPENJPA;10;IBK;56;2.835;0.935;Yes;No;0.44;0.33;0.38;0.16;0.89;0.37
OPENJPA;10;Naive Bayes;56;2.835;0.935;No;SMOTE;0.12;0.52;0.20;0.12;0.93;0.18
OPENJPA;10;Naive Bayes;56;2.835;0.935;Yes;SMOTE;0.12;0.46;0.19;0.12;0.89;0.18
OPENJPA;10;Random Forest;56;2.835;0.935;No;SMOTE;0.83;0.22;0.34;0.36;0.95;0.34
OPENJPA;10;Random Forest;56;2.835;0.935;Yes;SMOTE;0.91;0.22;0.35;0.37;0.92;0.35
OPENJPA;10;IBK;56;2.835;0.935;No;SMOTE;0.36;0.35;0.36;0.14;0.88;0.35
OPENJPA;10;IBK;56;2.835;0.935;Yes;SMOTE;0.44;0.33;0.38;0.16;0.89;0.37
OPENJPA;10;Naive Bayes;56;2.835;0.935;No;OverSampling;0.21;0.41;0.28;0.17;0.87;0.25
OPENJPA;10;Naive Bayes;56;2.835;0.935;Yes;OverSampling;0.20;0.42;0.27;0.16;0.86;0.24
OPENJPA;10;Random Forest;56;2.835;0.935;No;OverSampling;0.67;1.00;0.81;0.99;1.00;0.80
OPENJPA;10;Random Forest;56;2.835;0.935;Yes;OverSampling;0.65;0.97;0.78;0.97;0.99;0.77
OPENJPA;10;IBK;56;2.835;0.935;No;OverSampling;0.62;1.00;0.77;0.78;1.00;0.76
OPENJPA;10;IBK;56;2.835;0.935;Yes;OverSampling;0.59;0.97;0.74;0.75;0.99;0.73
OPENJPA;10;Naive Bayes;56;2.835;0.935;No;UnderSampling;0.20;0.46;0.28;0.16;0.87;0.25
OPENJPA;10;Naive Bayes;56;2.835;0.935;Yes;UnderSampling;0.19;0.46;0.27;0.15;0.85;0.24
OPENJPA;10;Random Forest;56;2.835;0.935;No;UnderSampling;0.14;0.99;0.24;0.54;0.98;0.21
OPENJPA;10;Random Forest;56;2.835;0.935;Yes;UnderSampling;0.13;0.98;0.24;0.53;0.97;0.20
OPENJPA;10;IBK;56;2.835;0.935;No;UnderSampling;0.13;0.98;0.23;0.13;0.90;0.19
